Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CH01,156.050000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"Tauranga Coastguard, Hawkes Bay Coastguard, Southern Region Coastguard",,,,
2,CH14,156.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Port Operations & Ship Movements,,,,
4,CH16,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"International Distress, Safety & Calling",,,,
5,CH17,156.850000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Special Purpose,,,,
6,CH18,156.900000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"Public Correspondence, Northern Coastguard, Whakatane Coastguard, Port Marlborough, Environment Southland",,,,
7,CH19,156.950000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Port Operations & Ship Movements,,,,
8,CH20,157.000000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Safety,,,,
9,CH21,157.050000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Safety,,,,
10,CH22,157.100000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Safety,,,,
11,CH23,157.150000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Safety,,,,
48,CH60,156.025000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"Public Correspondence Duplex, Northern Coastguard, Manawatu Marine Boating Club",,,,
49,CH61,156.075000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"Public Correspondence Duplex, Northern Region Coastguard, Environment Southland",,,,
50,CH62,156.125000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"Public Correspondence Duplex, Cape Egmont Sea Rescue",,,,
51,CH63,156.175000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"Public Correspondence Duplex, Whitianga Coastguard, South Taranaki Coastguard",,,,
52,CH64,156.225000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"Public Correspondence Duplex, Northern Region Coastguard, Encounter Kaikoura",,,,
53,CH65,156.275000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"Public Correspondence Duplex, Hokianga Coastguard, Waihau Bay Coastguard",,,,
54,CH66,156.325000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Public Correspondence Duplex,,,,
55,CH67,156.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Maritime Radio,,,,
56,CH68,156.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Maritime Radio,,,,
57,CH69,156.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Maritime Radio,,,,
58,CH70,156.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"DSC for Distress, Urgency, Safety",,,,
59,CH71,156.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Maritime Radio,,,,
61,CH73,156.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"Intership, Port Operations",,,,
62,CH74,156.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Port Operations & Ship Movements,,,,
65,77,156.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"Intership, Port Operations",,,,
67,79,156.975000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Port Operations,,,,
73,CH73,156.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,"Intership, Port Operations",,,,
74,CH74,156.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Port Operations & Ship Movements,,,,
77,77,156.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,"Intership, Port Operations",,,,
79,79,156.975000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Port Operations,,,,
80,79,156.975000,+,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Port Operations,,,,
